id,citation_context,section,citation_intent
31406,"13 Haziran 2017'de BIST 100 endeksi 100.000 puan seviyesine ulaşmıştır, 27 Haziran 2020'de endeksin değerlerini uluslararası borsalarla uyumlu hale getirmek amacıyla iki sıfır atılmıştır <CITE> .",materyal ve metot,background
49325,"Bunun yanı sıra, farklı veri setleri üzerinde akciğer segmentasyonunun yapıldığı çalışmalarda mevcuttur. Mique ve Malicdem ResUnet modeli ile %94,96 Dice katsayısı, Heo ve diğerleri <CITE> U-Net modeli ile %96,21 Dice katsayısı, Rahman ve diğerleri yine UNet modeli ile %96,19 Dice katsayısı elde etmişlerdir. Bu çalışmaların segmentasyon performansı bu çalışmadan daha düşüktür.",deneysel sonuçlar ve tartişma,differ
31029,Çalışmanın başarısı literatürdeki <CITE> çalışmalarla kıyaslandığında çok yakın   veya daha yüksek   başarı gösterdiği görülmektedir.,sonuç,support
30329,"Bu nedenle evrişim, küresel kafeslerden ve komşularından gelen birleştirilmiş özellikler üzerinde maksimum paylaşım yoluyla uygulanmıştır <CITE> .",noktasal tabanlı yöntemler,background
35073,"HDFS, NameNode ve DataNode işlem süreçlerinden oluşmaktadır <CITE> .",hadoop mimarisi,background
30193,"Bu sonuç değeri güç değişim katsayısı, endeks ilerleme eğilimi ve mevsimsellik katsayısı ile çarpılarak, ilgili aya ait bir tahmini tüketim değeri hesaplanmış olur <CITE> .",giriş,background
38276,"Zaltman ve Zaltman <CITE> , tüketicilerden gelen geri bildirimlerin altını kurcalamanın, onları daha net anlamada yardımcı olacağını vurgulamıştır.",giriş,background
38309,Literatürde çeşitli dillerde hazırlanan veri setleri üzerinde yapılmış çalışmalar bulunmaktadır <CITE>.,literatür taramasi,background
31868,"Mikroservis temelli uygulamalarda servis iletişimleri, REST API <CITE> , GraphQL  , ve gRPC   gibi günümüzün yaygın iletişim protokolleri ile sağlanabilmektedir.",giriş,background
42404,R.U.R. resmi olarak Robot teriminin tarihte kullanıldığı ilk yayındır <CITE> .,tarihçe ve önceki çalışmalar,background
34708,Çalışmada COVID-19 adlı sahte haber tespit veri seti   ve GloVe <CITE> ön eğitimli kelime gömülme katmanının sağladığı bağlamsal temsiller kullanılmıştır.,ilişkili çalışmalar,basis
36365,Bu çalışmada DEAP <CITE> verisetine ait veriler kullanılmış ve veritabanında bulunan 32 adet EEG kanalının hepsi değerlendirilmiştir.,materyal ve yöntemler,basis
34875,"Öncelikli tavan protokolüne (PCP) ek olarak; çok birimli kaynakların kullanımına izin verir, Dinamik öncelik zamanlamasını destekler ve çalışma zamanı yığın tabanlı kaynakların paylaşımına izin verir <CITE> .",sistem için gereken bileşenler,background
30309,ModelNet40 karşılaştırması en yaygın kullanılan modelleredir <CITE> .,yaygın kullanılan veri kümeleri,background
45353,"Sadece isimler üzerinden kişilerin demografik özelliklerinin çıkartılması, yapılan çalışmalar arasındadır <CITE> .",literatür taraması,background
32332,"Bu ilerlemeler, AB İnsan Beyin Projesi, ABD BRAIN girişimi, NIH SPARC girişimi gibi hükümet girişimleri ile Neurolink ve Galvani Bioelectronics gibi yeni ticari girişimler de dâhil olmak üzere dünya çapında büyük fonlar tarafından desteklenmektedir <CITE> .",yapay zekâ temelli akilli rehabilitasyon teknikleri,background
35701,"Oylaşma süreçlerine dair diğer önemli unsur, oylaşmanın ve uzlaşmanın değişebilir ya da değişemez olmasıdır <CITE> .",giriş,discuss
42782,"Bunlar; doğrudan ya da açık tanımlayıcı, dolaylı ya da yarı tanımlayıcı, hassas nitelikler ve hassas olmayan nitelikler olarak sınıflandırılmaktadır <CITE>.",büyük veride gizlilik korumasi,background
