id,citation_context,section,citation_intent
49312,"Liu ve diğerleri <CITE>, iyileştirilmiş bir U-Net ağı tasarlamışlardır.",önceki çalişmalar,background
31869,"Mikroservis temelli uygulamalarda servis iletişimleri, REST API  , GraphQL <CITE> , ve gRPC   gibi günümüzün yaygın iletişim protokolleri ile sağlanabilmektedir.",giriş,background
48749,"Yoklamadan kaynaklanan süre kayıplarını ortadan kaldırmak veya en aza indirmek amacıyla günümüzde yoklama işlemi akıllı kart, radyo frekansı ile tanımlama (Radio Frequency IDentification, RFID) <CITE>, yakın alan haberleşmesi (Near Field Communication, NFC) , akıllı telefon uygulamaları vb. birçok farklı teknolojik altyapı kullanılarak otomatik bir şekilde gerçekleştirilmektedir.",giriş,background
35346,"Akpınar'a <CITE> göre veri madenciliği yöntemleri istatistik, yapay zeka ve makine öğrenmesinden yararlanmaktadır.",kavramlar,background
29959,"Bugün de, tüm süreçler bu başlıkları esas alarak geliştirilmektedir. <CITE>",art alan ve ilgili çalışmalar,background
49439,Anahtar kelimelerin tanımlanmasında <CITE>’daki çalışmadan yararlanılmış olup sistem eğitim verisi oluşturulurken gözlemlenen durumlara göre yeni kurallar ve yeni anahtar kelimeler eklenmiştir.,geliştirilen sistemin yapısı,basis
32388,"Bu teknolojiler, hastaların hastanede kalış sürelerini ve maliyetlerini azaltmakta ve aynı anda tedavi edilebilecek hasta sayısını artırmaktadır <CITE> .",yapay zekâ temelli akilli rehabilitasyon teknikleri,background
49293,"Bu nedenlerden ötürü, araştırmacılar farklı doğal dil işleme (DDİ) görevlerinde metin içeriklerinden değerli bilgileri çıkarmak için derin sinir ağlarına yönelebilmişlerdir <CITE>.",giriş,background
31493,"Atıf sayıları, akademik arama motorlarının sıralama algoritmalarında da kullanılmaktadır <CITE> .",giriş,background
35017,"Bu çalışmada, akciğer görüntü segmentasyonu için U-Net mimarisi kullanılmıştır. U-Net <CITE> , görüntü segmentasyonu için tasarlanmış bir evrişimli sinir ağı mimarisidir ve yapısı Şekil 2'de gösterilmektedir.",yöntem,basis
29912,"Okunabilirlik kavramı, metinlerin okunaklı olması ve anlaşılabilirliği ile ilişkilendirilmekte olup, genel olarak bir metnin okuyucular tarafından hızlı, kolay ve anlaşılabilir şekilde okunabilmesi olarak tanımlanmaktadır <CITE> .",okunabilirlik indeksleri,background
49071,Fraihat ve ark. <CITE> büyük ölçekli IoT NetFlow tabanlı ağlar için bir güvenlik önlemi olarak bir ağ saldırı tespit sistemi önermişlerdir.,literatür taramasi,background
34830,"17 çiçek türü ve 1360 görüntüden oluşan bir veri kümesinde renk özellikleri ile %73,7, şekil özellikleri ile %71,8 ve renk ve şekli birleştirerek %81,3 performansa ulaşmışlardır <CITE> .",giriş,background
43672,"MobileNet, içerisinde 3x3 ve 5x5'lik çok sayıda darboğaz (bottleneck) bloklarını içeren geliştirilmiş bir evrişimsel sinir ağıdır. <CITE> .",materyaller ve yöntemler,background
29291,"Çok sayıda işletme, değerlendirme sürecini kafa karıştırıcı bulmakta ve anlamlı bir değerlendirmenin neleri içermesi gerektiği konusunda bir fikir birliği bulunmamaktadır <CITE> .",bilişim teknolojisi yatırımlarının değerlendirilmesi,background
48766,"Eğitim örnekleri p boyutlu x giriş vektörü ile, arzu edilen davranış q boyutlu d vektörü ile gösterilmek üzere, giriş vektörü x, uzman ağa ve birleştirme ağına eş zamanlı olarak uygulanır<CITE> .",materyal ve yöntem,basis
49547,"Optimizasyon algoritması olarak 2019 yılında yayınlanan ve diğer optimizasyon algoritmalarına nazaran statik öğrenme oranı (learning rate) almayan, Adam optimizasyon algoritması kadar hızlı ve Olasılıksal Dereceli Azalma (Stochastic Gradient Descent- SGD) kadar iyi bir optimizasyon algoritması olduğunu iddia eden AdaBound <CITE> optimasyon algoritması kullanıldı.",araştırma sonuçları ve tartışma,basis
49352,Özellikle kamera çözünürlüklerinin artması ile paylaşılan videoların kaliteleri ve kapasiteleri artmıştır <CITE>.,giriş,background
32889,"Toplanan bu veriler MySQL, Microsoft SQL(MSSQL) <CITE> gibi istenilen bir veri tabanına yüklenebileceği gibi CSV (Virgülle Ayrılan Değerler) metin dosyası veya Excel dosyasına taşınabilir.",yöntem,discuss
29112,Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> .,materyal ve metot,basis
31876,Sağlık uygulamalarında Elektronik Sağlık Kayıtları (ESK\EHR)'nın önemi kritiktir <CITE> .,literatür özeti ve problemin tanımı,background
49556,"Görüntü Chikusei, Ibaraki, Japonya'daki tarımsal ve kentsel alanlar üzerinde hava aracı tabanlı Headwall Hyperspec-VNIR-C sensörü ile 29 Temmuz 2014 tarihinde elde edilmiştir <CITE>.",materyal ve metot,basis
48682,"İskoç aksanı için ek olarak 11 erkek konuşmacının seslendirdiği 4.539'u benzersiz toplam 22.194 kelime içeren, 2,75 saat uzunluğunda veri kümesi hazırlanmıştır <CITE>.",ilgili çalişmalar,background
38275,"Dolayısıyla burada üretilen içerikler ve paylaşılan görüşler, işletmelerin tutmuş oldukları büyük verilere eklenerek işletmelerin karar verme süreçlerine katılmaya başlanmıştır <CITE> .",giriş,background
48668,"Daha uzun birimlerle, doğallık artarken daha az birleştirme noktasına ihtiyaç duyulmaktadır <CITE> .",ilgili çalişmalar,background
29778,Çalışmada verilerin elde edilebileceği kaynaklar özellikle belirtilmiştir <CITE> .,afet risk yönetiminde yapay zekâ kullanimi,background
30405,"Karıncaların geçiş yapmış oldukları yollardaki feromon miktarlarının, o yolu kullanan karıncanın yol uzunluğuyla ters orantılı olarak arttırılması <CITE> .",karıncaların geçiş yapmış oldukları,background
29236,Disiplinlerarası çalışmalarda öğrenme ve uygulama döngüsü oldukça önemlidir <CITE> .,giriş,background
29178,"Karar ağaçlarının sınıflandırmada kullanılmasında, karar ağaçlarının basit yapısı sayesinde, oluşturulan sınıflandırma modelinin kolay anlaşılabilir olması, karar ağaçlarının parametrik olmaması sayesinde, bilgi keşfi için uygun bir yapı sunması, diğer sınıflandırma yöntemlerine kıyasla kısmen daha hızlı bir biçimde oluşturulması gibi özellikler rol oynamaktadır <CITE> .",karar ağaci yöntemi,background
29214,Hibrid bir çalışmayı içeren çalışmalarında %97 başarının elde edildiği optimize edilmiş yüksek performanslı bir tanı sistemi gerçekleştirmişlerdir <CITE> .,önceki çalişmalar,background
49054,Ijaz ve ark. <CITE> vektörlere dayalı bir genetik algoritma tanıtmışlardır.,literatür taramasi,background
35710,"Örneğin elektronik devlet (e-devlet) ve akıllı devlet terimleri, hala geliştirme aşamasında olan ve geçtiğimiz yirmi yılda araştırmacılardan büyük ilgi gören kavramlardır <CITE> .",ilgili çalışmalar,background
49534,Deneysel çalışmada kullanılan veri kümesi NCBI veri tabanından elde edilmiştir <CITE>.,materyal ve metot,basis
29502,"Hitit çivi yazılı tabletler, Hititlerin başkenti Boğazkale/ Hattuşa başta olmak üzere Çorum-Ortaköy / Şapinuwa, Samsun Vezirköprü-Oymaağaç / Nerik, Sivas-Kuşaklı / Şarişşa, Sivas-Kayalıpınar / Şamuha, Kırıkkale-Karakeçili Büklükale, Çorum-Alacahöyük, Eskiyapar, Yozgat-Sorgun Uşaklı Höyük, Kilis Oylum Höyük gibi Anadolu'nun farklı bölgelerinde ve Türkiye dışındaki arkeolojik kazılarda elde edilmiştir<CITE> .",giriş,background
30169,Bulanık kümeleme yaklaşımları görüntülerin kümelenmesinde sıklıkla kullanılmaktadır  - <CITE> .,giriş,background
41554,"Kısa vadeli tahminler için yapılan deneyler, bu modelin normal SVR modeline kıyasla daha iyi performans ve doğruluğu olduğunu göstermiştir. <CITE> ise başka bir kısa vadeli elektrik yükü tahmini için yapılan çalışma olup hibrit parçacık sürü optimizasyonu-genetik algoritma-geri yayılım sinir ağları (Hybrid Particle Swarm Optimization-Genetic Algorithm-Back Propagation Neural Network, PSO-GA-BPNN) algoritmasına dayalı bir model verilmiştir.",literatür araştırması,background
49535,"Bu teknikte sekanslar, Fraksiyonel Shannon Entropisi kullanılarak DNA dizilimlerindeki kodonların dağılım frekansına göre sayısallaştırılmıştır <CITE> .",materyal ve metot,basis
45217,"ark. gürültü türü saptamak için sekiz evrişim katmanı, dört ortaklama katmanı ve üç tam bağlı katman olmak üzere toplam 15 katmanlı bir CNN modeli önermiştir <CITE> .",ilgili çalışmalar,background
31388,"ila %87 oranında azaltarak, zaman serisi tahminindeki doğruluk ve hassasiyet konusunda büyük bir gelişme sağlamıştır <CITE> .",giriş,background
30336,"Genel anlamda 3B iki tür veri kümesi vardır: iç mekân sahneleri  ,   ve dış mekân kentsel sahneleri <CITE> .",örgü tabanlı yöntemler,background
29384,"İleriki araştırmalar, imgedeki gürültü düzeyinin <CITE> 'deki çalışmada olduğu gibi otomatik olarak kestirilmesi ve yerel olmayan yayınıma   karmaşık yayınımın nasıl uygulanabileceği üzerine olacaktır.",tartışma ve sonuç,discuss
35731,"Son olarak, akıllı yönetişim ve sosyal sürdürülebilirlik üzerine bir çerçeve sunan araştırmada, akıllı yönetişimin formüle edilmesinde sosyal medyada akıllı telefonlarda kolayca kullanılabilen web tabanlı Planlama Destek Sistemleri ile ilgili daha fazla araştırma ve uygulama yapılması gerektiği öne sürülmüştür <CITE> .",ilgili çalışmalar,background
